gene,n_datasets_detected,n_datasets_significant,mean_log2fc,mean_log2fc_sig,consistent_direction
AEN,3,2,0.5154130876012087,0.3699029159666829,True
AFG3L2,3,2,0.05127821277103628,-0.3187273979912719,True
AFTPH,3,2,-0.0691384511685597,-0.3131755839233943,True
AGGF1,3,2,0.06235801126327001,-0.25125977101098274,True
AGK,3,2,0.060417209469027476,-0.2944607146820202,True
AIFM1,3,2,0.05689160969512604,-0.11482912706331216,True
AIG1,3,2,0.15490293636783323,-0.04993063831399125,False
AK2,3,2,0.3854604018312558,0.24114056989107002,True
AK4,3,2,0.5278643734308149,0.28676948135879954,True
AKAP1,3,2,0.14918651205277467,-0.13382239340686253,True
AKAP11,3,2,0.20085152727605463,-0.2947222415263715,True
AKIP1,3,2,0.32087967560634256,0.478003446310155,False
AKNA,3,2,0.4347289754034245,0.34797012102737623,True
AKR1B1,3,2,0.2039366502441385,-0.20259247823299154,True
AKR1C2,3,2,0.1436932075807992,-0.3434216361005995,True
ALDH1A2,3,3,0.5394419885699482,0.5394419885699482,False
ALDOC,3,2,0.10329543835260384,-0.33908116831852464,True
ALG5,3,2,0.18893388670616115,0.2878680553412934,False
ALPK1,2,2,0.9697144505943064,0.9697144505943064,True
AMMECR1L,3,2,0.45491745326532557,0.6813092227854873,True
AMPH,3,2,-0.08950159769825443,-0.574525769908317,True
AMY2B,3,2,0.02599726491355418,-0.3026941051621388,True
AMZ2,3,2,0.40226586682042065,0.591278029076785,False
ANAPC5,3,2,0.10419824206598587,-0.32040831644837997,True
ANGPT2,2,2,0.9495244176902544,0.9495244176902544,True
ANGPTL4,3,2,0.7311635447433593,0.910557427243314,True
ANK3,3,2,0.18080234198995923,-0.2534278740667322,True
ANKFN1,2,2,0.5335213866881041,0.5335213866881041,True
ANKFY1,3,2,0.38109038802833695,0.1601718847370801,True
ANKMY2,3,2,-0.044527315635151034,-0.4204358538673816,True
ANKRD29,3,2,-0.06154867922278721,-0.42674862261869606,True
ANKRD34A,2,2,0.3430967622270895,0.3430967622270895,False
ANKRD37,3,2,0.6206479288988446,0.8611825874107675,True
ANO6,3,3,0.6704436830014285,0.6704436830014285,True
ANP32B,3,2,0.7114719707537583,0.8358923620785292,True
ANTXR1,3,2,0.6054772939263552,0.7749836980364986,True
ANXA2,3,2,0.902531141098193,0.8931159417087429,True
ANXA5,3,2,0.6777530568798231,0.5069644550814318,True
ANXA6,3,2,-0.2098113359805088,-0.5644420376634862,True
ANXA7,3,3,0.1953828000000725,0.1953828000000725,False
AP3M1,3,2,0.3007204219851743,0.16336320973556395,True
AP3M2,3,2,0.1907530363048068,0.3332718818450302,False
APBA2,3,2,-0.1120479988772356,-0.26454672328367046,True
APBB1IP,3,3,0.7479821036760329,0.7479821036760329,True
APEX1,3,2,0.26402404815614755,-0.19071089055373536,True
APIP,3,2,0.05170019011214655,0.0977288564614881,False
APOC1,2,2,0.9050275732561341,0.9050275732561341,True
APOE,3,3,0.8107512643967812,0.8107512643967812,True
APP,3,2,-0.12670317604651574,-0.4215372476417487,True
ARAF,3,2,0.38338089310748796,0.5172156486904003,True
ARAP1,3,2,0.3019849115505062,0.26443117898088,True
ARFGAP2,3,2,0.2187499654569048,0.3512454973359973,False
ARFIP2,3,2,0.12022375271007728,0.24880072443675427,True
ARHGAP26,3,2,-0.11024037892092468,-0.31032881060544604,True
ARHGAP27,2,2,0.6613951960476596,0.6613951960476596,True
ARHGAP30,3,2,0.7176410910413441,1.0368275628370163,True
ARHGAP4,3,2,0.295554829792595,0.4821417397161656,True
ARHGAP45,2,2,0.6088935478746476,0.6088935478746476,True
ARHGDIB,3,2,0.7353776963964074,0.9887113535135208,True
ARHGEF3,3,2,0.35715329563912324,0.5957168770163777,False
ARID3A,3,2,0.5957702392632344,0.8515855841304294,True
ARID4B,3,2,0.5272834580794452,0.7611941126322019,True
ARL1,3,2,0.17819940731782827,-0.29747585441751356,True
ARL3,3,2,0.04018304859287388,-0.23586885066873542,True
ARL8B,3,2,0.2262451619487873,0.3820627943334358,False
ARMC8,3,2,0.02289026315130312,-0.33102729489304217,True
ARMCX3,3,2,-0.07509355380152065,-0.31591124704531515,True
ARMCX5,3,3,0.011399118847922404,0.011399118847922404,False
ARNT,2,2,0.05065815303827215,0.05065815303827215,False
ARRDC4,3,2,0.7425524000976501,0.6758331010974785,True
ARSG,3,2,-0.280193141940527,-0.3416889316745666,True
ASAP3,3,2,0.48832579040910656,0.37382554243426536,True
ASB13,3,2,-0.17072924352405097,-0.5531911043914866,True
ASB8,3,2,0.1255956556460731,0.20551150715821187,False
ASCC2,3,2,0.5662762192610215,0.3353336108603546,True
ASH2L,3,2,0.014114285366699045,-0.37543118558343735,True
ASNS,3,2,0.2248033724041806,-0.23142898602716855,True
ASXL2,3,2,0.3858883533733355,0.19899822484353802,True
ATAD1,3,2,-0.030220031834690353,-0.3126178124510477,True
