gene,cluster_id
CCN4,139
CCN6,749
CCNA2,714
CCNB1,671
CCNB1IP1,8
CCNB2,218
CCND1,10
CCNDBP1,575
CCNE1,770
CCNE2,216
CCNF,700
CCNG1,395
CCNG2,348
CCNH,1
CCNI,76
CCNJ,323
CCNJL,310
CCNL1,546
CCNO,156
CCNQ,219
CCNT1,774
CCNT2,512
CCNYL1,61
CCP110,698
CCPG1,432
CCR10,514
CCR2,408
CCR5,491
CCR7,580
CCRL2,102
CCS,468
CCSAP,633
CCSER2,256
CCT2,736
CCT4,8
CCT5,426
CCT6A,352
CCT6B,622
CCT7,425
CCT8,503
CCZ1B,93
CD14,517
CD160,196
CD163,337
CD163L1,86
CD164,696
CD177,72
CD19,682
CD1C,470
CD1D,111
CD1E,370
CD2,416
CD200,806
CD200R1,581
CD209,467
CD22,-1
CD226,416
CD247,580
CD248,203
CD27,147
CD274,-1
CD276,386
CD28,354
CD2AP,319
CD2BP2,159
CD300A,543
CD320,788
CD33,506
CD36,244
CD37,408
CD3D,467
CD3E,199
CD4,437
CD40,240
CD40LG,388
CD44,498
CD46,565
CD47,652
CD48,261
CD52,408
CD53,580
CD55,300
CD58,268
CD59,482
CD63,48
CD69,476
CD7,409
CD79A,25
CD79B,517
CD81,653
CD83,488
CD8A,231
CD9,288
CD96,110
CDA,163
CDADC1,735
CDC123,740
CDC14A,50
CDC16,742
CDC20,414
CDC25A,613
CDC25B,139
CDC25C,452
CDC27,270
CDC34,12
CDC42EP1,399
CDC42EP2,422
CDC42EP3,252
CDC42EP5,590
CDC42SE2,486
CDC45,454
CDC50B,675
CDC5L,332
CDC6,710
CDC7,715
CDCA2,264
CDCA3,719
CDCA4,729
CDCA5,666
CDCA7,294
CDCA8,660
CDH11,217
CDH19,244
CDH2,140
CDH3,674
CDH4,355
CDHR1,-1
CDHR2,629
CDHR5,145
CDIN1,302
CDIP1,182
CDIPT,107
CDK1,10
CDK12,609
CDK16,552
CDK2,606
CDK20,286
CDK2AP1,12
CDK4,635
CDK5,426
CDK5R1,153
CDK5RAP1,444
CDK7,593
CDK8,157
CDKL1,536
CDKL2,25
CDKN1A,191
CDKN2A,178
CDKN2AIP,334
CDKN2B,171
CDKN2C,29
CDKN3,670
CDR2L,738
CDS1,647
CDS2,750
CDT1,676
CDV3,246
CDX1,121
CDYL2,226
CEACAM1,2
CEACAM5,240
CEACAM6,658
CEACAM7,235
CEBPB,627
CEBPD,488
CEBPZ,717
CEBPZOS,272
CECR2,636
CEL,672
CELA3B,346
CELF2,636
CELSR1,658
CELSR2,136
CELSR3,327
CEMIP,674
CENPA,392
CENPB,758
CENPC,292
CENPE,791
CENPF,700
CENPH,641
CENPI,10
CENPK,95
CENPL,595
CENPM,380
CENPN,671
CENPO,94
CENPQ,641
CENPU,315
CENPW,452
CEP104,783
CEP112,239
CEP120,459
CEP126,798
CEP131,758
CEP164,7
CEP19,1
CEP192,291
CEP20,138
CEP295,272
CEP41,621
CEP43,276
CEP55,143
CEP57L1,807
CEP68,127
CEP70,60
CEP72,711
CEP76,316
CEP78,137
CEP83,551
CEP85,381
CEP85L,128
CEP97,96
CERCAM,248
CERK,146
CERS2,53
CERS5,241
CERT1,334
CES2,97
CES3,196
CETN2,520
CFAP119,-1
CFAP20,681
CFAP20DC,271
CFAP263,212
CFAP298,753
CFAP300,183
CFAP36,559
CFAP410,200
CFAP68,593
CFAP92,475
CFAP97,653
CFB,213
CFD,197
CFDP1,510
CFH,763
CFHR1,691
CFI,534
CFL1,15
CFL2,283
CFLAR,585
CGGBP1,182
CGN,512
CGREF1,792
CGRRF1,129
CH25H,250
CHAC1,633
CHAD,198
CHAF1A,632
CHAF1B,455
CHAMP1,573
CHCHD10,570
CHCHD2,625
CHCHD6,633
CHCHD7,447
CHCT1,231
CHD1L,-1
CHD3,448
CHD4,442
CHD6,393
CHD7,275
CHD9,37
CHDH,756
CHEK1,567
CHEK2,275
CHERP,677
CHFR,684
CHGA,364
CHGB,196
CHI3L1,673
CHIC1,367
CHID1,720
CHKB,396
CHL1,263
CHLSN,772
CHML,136
CHMP1B,52
CHMP2A,146
CHMP2B,518
CHMP4C,721
CHMP5,697
CHN1,688
CHODL,194
CHORDC1,375
CHP1,590
CHP2,49
CHPF,498
CHPF2,649
CHPT1,312
CHRAC1,465
CHRDL1,602
CHRM2,163
CHRNA3,530
CHRNA5,70
CHRNB1,198
CHST12,382
CHST14,541
CHST4,526
CHST5,145
CHST9,506
CHSY1,538
CHTF18,22
CHUK,799
CIAO1,547
CIAO2A,787
CIAO2B,562
CIAPIN1,501
CIB1,786
CIB2,387
CIBAR1,10
CIC,493
CIDEB,630
CIDEC,147
CILP,164
CIMAP1B,539
CIMAP2,199
CIMIP2C,295
CIP2A,168
CIPC,149
CIRBP,518
CISH,169
CITED2,430
CITED4,122
CIZ1,340
CKAP2,727
CKAP2L,688
CKAP5,0
CKB,428
CKLF,447
CKMT1A,366
CKMT2,10
CKS1B,654
CKS2,215
CLASP2,-1
CLBA1,498
CLCA1,245
CLCA4,73
CLCC1,773
CLCF1,71
CLCN2,437
CLCN4,241
CLCN5,445
CLCN6,172
CLCN7,501
CLDN1,674
CLDN12,375
CLDN2,360
CLDN23,196
CLDN5,490
CLDN7,50
CLDN8,73
CLDND1,662
CLEC10A,38
CLEC11A,-1
CLEC1A,416
CLEC2B,88
CLEC2D,101
CLEC4E,333
CLEC5A,296
CLECL1,531
CLIC1,221
CLIC2,691
CLIC4,258
