hgnc_symbol,cluster_id,dataset,tissue,log2fc,pvalue,direction,discovery_direction,concordant,significant,eliminated
CS,14,GSE122063,brain,-0.24510566063311678,0.00010616482419756323,down,down,True,True,False
PDHA1,14,GSE122063,brain,-0.2893924498051952,9.643120032687413e-05,down,down,True,True,False
COX6B1,8,GSE122063,brain,-0.3344954553246744,5.422302027380255e-07,down,down,True,True,False
TMEM132D,16,GSE122063,brain,-0.982321656342533,1.7867828105977424e-08,down,down,True,True,False
DPP6,13,GSE122063,brain,-0.5554193967435079,6.097198301802109e-10,down,down,True,True,False
CYYR1,4,GSE122063,brain,0.4133091035681815,0.0008524052452447695,up,up,True,True,False
HPR,25,GSE122063,brain,0.17013305005194823,0.32804748124875704,up,up,True,False,False
MAD1L1,11,GSE122063,brain,-0.4693169805405839,1.0561773677864039e-10,down,up,False,True,True
GSN,25,GSE122063,brain,0.5121532499610364,2.7084713138947336e-07,up,up,True,True,False
COX7C,8,GSE122063,brain,-0.20233969738636226,0.001374110752881741,down,down,True,True,False
ANTXR1,4,GSE122063,brain,0.5294090139366858,0.0003971645495863818,up,up,True,True,False
TENT5A,4,GSE122063,brain,0.39164687312662316,0.0004634678685049298,up,up,True,True,False
GALNT15,4,GSE122063,brain,0.4601508098506475,0.0024454115953664868,up,up,True,True,False
CR1,26,GSE122063,brain,0.6195695950892857,0.004686027356379796,up,up,True,True,False
RPH3A,13,GSE122063,brain,-0.22190645631980654,0.024294981229256774,down,down,True,True,False
ISYNA1,25,GSE122063,brain,0.6142277639740259,1.1769140395578859e-07,up,up,True,True,False
PLXNB1,25,GSE122063,brain,0.285375191686688,0.020332195754233506,up,up,True,True,False
NRN1,13,GSE122063,brain,-0.7640271182743472,2.7267077484793845e-13,down,down,True,True,False
NDUFA13,8,GSE122063,brain,-0.24120903470779353,1.893832974664278e-05,down,down,True,True,False
TRPS1,4,GSE122063,brain,0.5454953305259753,1.6014365034067168e-07,up,up,True,True,False
HSPB2,25,GSE122063,brain,0.7259265417110381,0.0,up,up,True,True,False
WDR70,6,GSE122063,brain,-0.11941170475974161,0.025021038739637902,down,down,True,True,False
GNPNAT1,11,GSE122063,brain,-0.25305636156656064,0.008700100476954908,down,up,False,True,True
NPY,16,GSE122063,brain,-0.8343181718051955,2.4846668203792888e-05,down,down,True,True,False
FARSA,13,GSE122063,brain,-0.7214662490779222,2.398081733190338e-14,down,down,True,True,False
TSPOAP1,24,GSE122063,brain,-0.5245420917045447,3.5438318946034997e-13,down,down,True,True,False
CTSH,26,GSE122063,brain,0.11642506345779147,0.216986522558565,up,up,True,False,False
KLHL29,6,GSE122063,brain,-0.25300007549188486,0.08398356416274133,down,down,True,False,False
C1QTNF4,13,GSE122063,brain,-0.8823965378344152,1.9242052395895826e-10,down,down,True,True,False
STMN4,16,GSE122063,brain,-0.47843297201948154,0.00044603733345827123,down,down,True,True,False
SMARCC1,4,GSE122063,brain,0.4367629266801947,8.55926868947865e-05,up,up,True,True,False
NCKAP5,4,GSE122063,brain,0.5927099468214276,1.230662135265348e-05,up,up,True,True,False
AP2A2,24,GSE122063,brain,0.0038963324512995,0.9344703803375567,up,down,False,False,False
ECHDC3,4,GSE122063,brain,0.15737995827922147,0.3254988940420489,up,up,True,False,False
MDH2,14,GSE122063,brain,-0.6940767284805194,3.5500491435414006e-12,down,down,True,True,False
DHRS11,13,GSE122063,brain,-1.0210955269594155,0.0,down,down,True,True,False
FSTL5,6,GSE122063,brain,-1.0378486417256516,8.102116222374889e-07,down,down,True,True,False
TMEM163,16,GSE122063,brain,-0.9203539154805176,2.7092026400055147e-08,down,down,True,True,False
TSPAN14,26,GSE122063,brain,-0.0029723142857172036,0.9696325274743562,down,up,False,False,False
ADARB2,4,GSE122063,brain,-0.07972114743993508,0.4889761149787679,down,up,False,False,False
CYRIA,6,GSE122063,brain,-0.7314761967597416,5.1047752691602e-09,down,down,True,True,False
LAIR1,26,GSE122063,brain,1.0785799273879846,7.680522884356833e-13,up,up,True,True,False
NECAB1,16,GSE122063,brain,-1.5679700383230522,1.9455548283531243e-10,down,down,True,True,False
SLC12A4,25,GSE122063,brain,0.04116640369318336,0.7398365989855424,up,up,True,False,False
RIMBP2,16,GSE122063,brain,-0.8516218891493503,5.718164941548309e-07,down,down,True,True,False
ATP6V0E2,6,GSE122063,brain,-0.7445408524155841,1.7096968285557068e-10,down,down,True,True,False
