cluster_id,gene,GSE33000_p,GSE33000_q,GSE5281_p,GSE5281_q,GSE132903_p,GSE132903_q,GSE63060_p,GSE63060_q,n_datasets_nominal,n_datasets_stringent,n_datasets_fdr
12,BANK1,9.517275856296692e-12,1.4430526569114117e-11,0.1239640192848103,0.16687464134493693,0.1092197322478762,0.13106367869745145,0.0203045555676346,0.08507556510167898,2,1,2
12,BORCS5,0.0,1e-300,1.924822568000195e-08,1.0402302899401243e-07,0.9785605331409049,1.0,0.8550551221638558,0.9920529041680095,2,2,2
12,CAMK1D,0.7941901158616571,0.8297508673181493,0.0369614424613216,0.056863757632802464,9.991429905653604e-10,5.449870857629238e-09,0.7487276704181909,0.9408333727865726,2,1,2
12,CDKAL1,0.0,1e-300,0.7376325542099496,0.7843181589067818,8.909819269042885e-07,2.5284622249986563e-06,0.1968804931563101,0.41762528851338504,2,2,2
12,PUM3,0.0001864927063834,0.0002310529105635044,0.6001291170342136,0.6713382426947768,0.069083740942839,0.08661245133132055,2.2681412303882095e-11,1.905238633526096e-09,2,2,3
12,RAPSN,3.1308378112271384e-10,4.518734985276282e-10,0.56342553751678,0.6412973597751968,0.0002451489119708,0.00044766323055537384,0.0702962106333875,0.2159296356080335,2,2,2
12,SPATS2,0.0,1e-300,0.7874194467543405,0.8309451448161382,0.0268331182246084,0.035664271058023826,0.1249972671128549,0.3106440957834264,2,1,2
12,ZIC5,0.0,1e-300,0.962021631388554,0.9878950737975372,0.0148842102763275,0.020699895086283275,0.5339768044156685,0.8067275462394993,2,1,2
13,ATP6V1B2,0.0,1e-300,0.0,1e-300,1.0746958878371517e-12,1.6120438317557276e-11,0.6753502292470721,0.9121517946501443,3,3,3
13,C1QTNF4,0.0,1e-300,1.1546319456101628e-14,3.4638958368304884e-13,2.830949368037849e-06,7.16523431118881e-06,,1.0,3,3,3
13,DHRS11,0.0,1e-300,7.032563692277449e-06,2.307559961528538e-05,0.0040958665305492,0.006165820583622452,0.4243813020049547,0.6908532823336472,3,3,3
13,DLGAP2,0.0,1e-300,6.553441345147348e-09,4.047713772002774e-08,2.527197564550221e-06,6.511797405589526e-06,0.1734214973227357,0.3874310046571755,3,3,3
13,DPP6,0.0145371833599692,0.016363943796195993,0.0,1e-300,1.808331262509455e-12,2.531663767513237e-11,0.1490117082302458,0.35160065986911926,3,2,3
13,FARSA,0.0,1e-300,6.295287768853797e-05,0.00017865005830531046,1.843820711555644e-05,4.11917393007112e-05,0.066114083181112,0.2114899783005619,3,3,3
13,NRN1,0.0,1e-300,0.0,1e-300,0.0,1e-300,0.9975444085205736,1.0,3,3,3
13,OLFM3,0.0,1e-300,1.2518398317951096e-08,7.302399018804806e-08,9.737988193592171e-12,1.0736471540877361e-10,,1.0,3,3,3
13,RPH3A,0.0,1e-300,9.544809387307396e-12,1.3362733142230354e-10,0.001832954436109,0.0029723585450416212,0.107324983076098,0.28172808057475723,3,3,3
13,SERPINI1,0.0,1e-300,4.822157340100831e-09,3.068645580064165e-08,2.0079493623370578e-11,1.795230630818878e-10,0.002670825087701,0.01752728963803781,4,4,4
13,SV2B,0.0,1e-300,1.4432899320127038e-13,3.190430376028082e-12,6.076317227154958e-10,3.4487205883852463e-09,0.419253907916719,0.6851620285020311,3,3,3
13,TAGLN3,0.0,1e-300,5.284661597215746e-14,1.3872236692691333e-12,1.3466339154888374e-11,1.4087619959468611e-10,,1.0,3,3,3
13,VGF,0.0,1e-300,0.0030021823245478,0.006392441955413939,0.0,1e-300,,1.0,3,3,3
14,CS,0.0,1e-300,2.030605044334166e-06,7.970599239442521e-06,0.0056548944668026,0.008246721097420457,0.5841776551426072,0.8460503971030864,3,3,3
14,DLAT,0.0,1e-300,0.0056507933917511,0.011038759183885869,,1.0,0.0171454618085686,0.07743111784514853,3,2,3
