gene,n_runs_in_phase6,median_random_effect,std_random_effect,iqr_random_effect,median_random_p,direction,direction_concordance
GALNT11,50,-0.179499,0.000000,0.000000,3.947232e-05,down,1.0000
GALNT12,50,-0.703704,0.000000,0.000000,8.450709e-04,down,1.0000
GALNT16,50,-0.696708,0.000000,0.000000,6.317732e-03,down,1.0000
GALNT6,50,1.880302,0.000000,0.000000,6.998525e-02,up,1.0000
GALNT7,50,-0.383200,0.000000,0.000000,2.222150e-04,down,1.0000
GALNT8,50,-0.514875,0.000000,0.000000,4.179365e-01,down,1.0000
GAMT,50,-0.188790,0.000000,0.000000,3.795743e-07,down,1.0000
GAN,50,-0.864843,0.000000,0.000000,1.753104e-28,down,1.0000
GAP43,50,-0.558507,0.000000,0.000000,1.729870e-13,down,1.0000
GAPDH,50,0.093117,0.000000,0.000000,9.088265e-11,up,1.0000
GAR1,50,0.244561,0.000000,0.000000,1.930006e-02,up,1.0000
