cluster_id,n_iron_clad_members,members,min_modal_count,max_modal_count,mean_modal_count
171,12,CBS|CCDC127|CLEC14A|FAM161B|FBXO17|G2E3|ITGA5|KRT8|PDZRN3|S100A13|SMIM17|TPST1,2,3,2.2
172,2,IFT54|NIPAL3,2,2,2.0
173,17,ADIPOR1|BRMS1|CCDC43|CCT7|CROT|HNRNPAB|MRPL1|PCSK9|POLR2H|PPFIBP2|SH2D1A|SS18L2|THAP4|TPI1|TRIAP1|UQCRFS1|UQCRQ,2,2,2.0
174,5,ADIPOR2|CD82|IMPDH1|NOLC1|PSMB6,2,2,2.0
176,12,BRWD3|CCDC8|DZIP3|FER|KLHL9|NECTIN3|PCBP2|RALGAPB|RBM24|RSPO1|TADA2A|ZNF709,2,2,2.0
177,3,ATP2B1|MFF|PDLIM3,1,1,1.0
178,11,BMP6|CDC26|FZD3|IGIP|MYCBP2|NAGS|NIF3L1|SLC16A7|STAT2|TSEN15|VPS41,2,2,2.0
179,9,AP3S1|ITIH5|NHLRC2|QNG1|RTN1|SCARB1|SIK3|SLC16A4|ZNF510,2,2,2.0
181,3,CDS1|LDHA|TRIM72,2,2,2.0
183,3,EXOSC4|RPL38|SRP14,2,3,2.7
185,10,EPS15L1|MTBP|MYH9|NAXE|PDLIM7|POLRMT|POP5|SLC25A37|USP43|ZNF777,2,2,2.0
189,6,CPNE2|FOXP1|TMEM120B|TNNI3K|TNPO1|ZNF566,1,1,1.0
190,6,ITPKB|LZTS2|MBOAT1|MIGA1|SLC17A5|ZNF292,1,1,1.0
191,7,BMPR1A|CDC14B|GPD2|IGF2BP2|SAP30L|ZCCHC2|ZNF502,1,1,1.0
192,13,ABCC1|FERRY3|GBP2|GSKIP|HCLS1|MRPL37|MTX2|RELCH|SFXN5|SLIRP|TEAD3|TPST2|TUBB2A,2,2,2.0
193,8,BBS2|CDC42BPA|CDKN1C|ECM2|EXOSC7|STAC|TSHZ2|ZBTB20,1,1,1.0
194,6,CKMT2|KIT|MYLK|PFN2|TSPAN18|ZNF529,1,1,1.0
195,21,CMIP|DIS3L2|DNER|DNPEP|FANCM|GNAI1|GPR183|HEMK1|INHBB|LSP1|NSUN4|PPARG|PPP1R3C|PSMG4|PTCD3|SLC1A6|SPOUT1|STOX2|STRN4|TFAM|VSTM4,1,2,2.0
196,7,DSG3|KRT78|MLKL|PLCD1|SAA2|SRXN1|TGFA,2,2,2.0
198,3,DNAJB14|FBXL2|GLT8D1,1,1,1.0
199,6,CAPN1|COPB2|CWC27|MBD4|PPP1R15A|SREK1IP1,2,2,2.0
200,6,EFTUD2|METTL9|MTHFD1|SIPA1L1|SNU13|TRIP12,2,2,2.0
201,8,CRABP2|DTL|EIF4EBP1|HMOX1|KIF18B|NUF2|PAOX|PTTG1,3,3,3.0
202,10,B3GALT5|CASQ2|CHL1|CRY2|GPC4|GPD1|GPRASP1|PIEZO2|RNF150|RORC,2,2,2.0
204,25,ALDH16A1|BNIP3|C1orf53|CTSA|DUSP12|EVA1C|GID8|GPR18|JMJD7|LCP1|MRPL21|NOB1|NUBP1|POLG|PRMT5|RTCB|S100A11|SHMT2|SLC25A22|TBC1D2|TMEM53|TTLL12|UBL4A|XCL2|ZNF584,2,2,2.0
205,20,ABAT|AGR2|ANGPT1|CCDC80|CNTN3|FHOD3|GRB14|GRIN2A|MOGAT2|NPIPA5|OPRPN|PTER|SCEL|SERPINI1|SHOX2|TEF|TENT5C|TMC4|TMEM119|TSPAN2,2,2,2.0
207,13,AEBP1|ANK2|ENHO|FAM168B|INPP5E|ITPR2|KIAA0040|PHF20L1|RFTN2|RNF114|TBC1D9|TCEA1|ZNF577,2,3,2.4
208,5,ELMO1|EXPH5|FGFBP3|SLC16A5|STXBP5,2,2,2.0
209,15,COA5|DCAF8|DDX54|ECSCR|GLG1|HYI|KDM5A|MTA2|SH3RF1|TBRG1|WEE1|WLS|ZEB1|ZNF251|ZNF418,1,2,1.9
210,8,AQP3|ARL14|KDELR2|PUS7|RAPGEFL1|RGS5|RNF141|SLC10A3,1,2,1.5
211,6,ARL8B|CPNE7|SACK1H|TMEM258|TRIP6|VDAC1,1,2,1.8
212,17,ARSK|CDC34|CDYL2|CYC1|DGAT1|DUSP5|EXTL3|FOXN1|MLST8|PSRC1|RGS19|SFTPD|SGTA|SLC39A4|TRIM11|XK|YJU2,2,2,2.0
215,7,NOL7|SSTR1|TAGAP|TCAP|TRIP11|UPF1|URB1,1,2,1.9
216,8,AGAP9|CA3|CBX7|CLK4|FAT3|OLFML3|PALM|TBC1D24,2,2,2.0
217,9,B3GNT3|KEAP1|LCLAT1|LILRB1|MLX|PES1|RANGRF|SND1|TOR1B,2,2,2.0
218,21,ACVR2B|BMPER|EBF1|FILIP1L|FUBP1|GPR143|LRRC37A2|LRRK2|MAGI3|MAP3K21|MBD5|PDCD5|PEG10|PLAG1|PREX2|SACK1B|SMURF1|TACR1|TNFRSF18|ZHX3|ZNF780B,1,2,1.9
