gene,cluster_id,status,discovery_direction,n_same_tissue_concordant,n_same_tissue_discordant,n_cross_tissue_concordant,reason
NFE2L2,49,eliminated,up,2,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE26415']. Discovery direction: up.
RPL39,49,eliminated,up,1,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE26415']. Discovery direction: up.
SIPA1,49,survived,up,1,0,0,Same-tissue replication: 1/3 concordant. Cross-tissue: 0/0 concordant.
CYC1,51,survived,up,2,0,0,Same-tissue replication: 2/4 concordant. Cross-tissue: 0/0 concordant.
DOP1A,51,eliminated,up,2,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE26415']. Discovery direction: up.
MTMR7,51,eliminated,up,1,2,0,"Significant opposite direction in same-tissue dataset(s): ['GSE18123', 'GSE42133']. Discovery direction: up."
SUV39H1,51,survived,up,1,0,0,Same-tissue replication: 1/3 concordant. Cross-tissue: 0/0 concordant.
TTC13,51,eliminated,up,2,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE26415']. Discovery direction: up.
GOT2,52,eliminated,up,1,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE18123']. Discovery direction: up.
HACL1,52,eliminated,up,3,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE26415']. Discovery direction: up.
PIK3R4,52,eliminated,up,3,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE26415']. Discovery direction: up.
SLC35B3,52,eliminated,up,2,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE26415']. Discovery direction: up.
C1QB,53,eliminated,up,2,2,0,"Significant opposite direction in same-tissue dataset(s): ['GSE18123', 'GSE42133']. Discovery direction: up."
CDKN1A,53,eliminated,up,2,2,0,"Significant opposite direction in same-tissue dataset(s): ['GSE102741', 'GSE18123']. Discovery direction: up."
GBP2,53,eliminated,up,1,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE42133']. Discovery direction: up.
IFITM3,53,survived,up,1,0,0,Same-tissue replication: 1/4 concordant. Cross-tissue: 0/0 concordant.
NQO1,53,survived,up,1,0,0,Same-tissue replication: 1/3 concordant. Cross-tissue: 0/0 concordant.
TIMP1,53,survived,up,3,0,0,Same-tissue replication: 3/4 concordant. Cross-tissue: 0/0 concordant.
YBX3,53,eliminated,up,2,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE18123']. Discovery direction: up.
PABPC4,57,survived,up,2,0,0,Same-tissue replication: 2/4 concordant. Cross-tissue: 0/0 concordant.
RFXANK,57,survived,up,2,0,0,Same-tissue replication: 2/4 concordant. Cross-tissue: 0/0 concordant.
RPS16,57,eliminated,up,3,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE26415']. Discovery direction: up.
CHSY1,59,eliminated,up,0,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE26415']. Discovery direction: up.
DOK1,59,survived,up,3,0,0,Same-tissue replication: 3/4 concordant. Cross-tissue: 0/0 concordant.
FAM111A,59,eliminated,up,2,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE26415']. Discovery direction: up.
MAPKAPK2,59,survived,up,2,0,0,Same-tissue replication: 2/4 concordant. Cross-tissue: 0/0 concordant.
UBE2L6,59,eliminated,up,3,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE42133']. Discovery direction: up.
IFRD1,64,eliminated,up,1,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE26415']. Discovery direction: up.
P4HA1,64,survived,up,2,0,0,Same-tissue replication: 2/3 concordant. Cross-tissue: 0/0 concordant.
RPLP1,64,eliminated,up,3,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE26415']. Discovery direction: up.
SEC11A,64,eliminated,up,2,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE26415']. Discovery direction: up.
SLA,64,eliminated,up,2,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE26415']. Discovery direction: up.
UGDH,64,survived,up,3,0,0,Same-tissue replication: 3/3 concordant. Cross-tissue: 0/0 concordant.
ATXN7,68,eliminated,up,1,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE18123']. Discovery direction: up.
BMP7,68,eliminated,up,1,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE18123']. Discovery direction: up.
DDAH2,68,survived,up,2,0,0,Same-tissue replication: 2/4 concordant. Cross-tissue: 0/0 concordant.
EPB41L2,68,survived,up,2,0,0,Same-tissue replication: 2/3 concordant. Cross-tissue: 0/0 concordant.
MCL1,68,survived,up,2,0,0,Same-tissue replication: 2/4 concordant. Cross-tissue: 0/0 concordant.
PDIA6,68,survived,up,2,0,0,Same-tissue replication: 2/4 concordant. Cross-tissue: 0/0 concordant.
RPS2,68,eliminated,up,2,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE26415']. Discovery direction: up.
CHST11,69,eliminated,up,1,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE18123']. Discovery direction: up.
SBF2,69,survived,up,3,0,0,Same-tissue replication: 3/4 concordant. Cross-tissue: 0/0 concordant.
SERF2,69,survived,up,2,0,0,Same-tissue replication: 2/3 concordant. Cross-tissue: 0/0 concordant.
C1QC,70,eliminated,up,0,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE18123']. Discovery direction: up.
LIMS1,70,survived,up,3,0,0,Same-tissue replication: 3/4 concordant. Cross-tissue: 0/0 concordant.
PARP9,70,eliminated,up,1,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE42133']. Discovery direction: up.
RHBDF2,70,eliminated,up,0,2,0,"Significant opposite direction in same-tissue dataset(s): ['GSE18123', 'GSE42133']. Discovery direction: up."
